"url","route_exists","locale","http_status","final_url","redirect_hops","indexable","canonical","hreflang_es","hreflang_en","x_default","title","h1","meta_robots","x_robots_tag","robots_txt_allowed","crawl_policy","index_policy","classification","page_type","product","audience","content_language","schema_types","source_route","source_file","sitemap_present","sitemap_absence_classification","internal_inlinks","internal_outlinks","intent_label_provisional","intent_confidence","notes","discovered_via_sitemap","discovered_via_route_tree","discovered_via_i18n","discovered_via_internal_link","discovered_via_redirect_config"
"https://valentinproteccionintegral.com/en/insurance/funeral-insurance/families","yes","en","200","https://valentinproteccionintegral.com/en/insurance/funeral-insurance/families","0","yes","https://valentinproteccionintegral.com/en/insurance/funeral-insurance/families","https://valentinproteccionintegral.com/seguros/decesos/familias","https://valentinproteccionintegral.com/en/insurance/funeral-insurance/families","https://valentinproteccionintegral.com/seguros/decesos/familias","Family Funeral Insurance in Madrid","Family Funeral Insurance in Madrid","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","5","87","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/dental-insurance","yes","en","200","https://valentinproteccionintegral.com/en/insurance/dental-insurance","0","yes","https://valentinproteccionintegral.com/en/insurance/dental-insurance","https://valentinproteccionintegral.com/seguros/dental","https://valentinproteccionintegral.com/en/insurance/dental-insurance","https://valentinproteccionintegral.com/seguros/dental","Dental insurance in Madrid | Valentín Protección Integral","Dental insurance for more predictable access to everyday oral care","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","232","99","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/dental-insurance/families","yes","en","200","https://valentinproteccionintegral.com/en/insurance/dental-insurance/families","0","yes","https://valentinproteccionintegral.com/en/insurance/dental-insurance/families","https://valentinproteccionintegral.com/seguros/dental/familias","https://valentinproteccionintegral.com/en/insurance/dental-insurance/families","https://valentinproteccionintegral.com/seguros/dental/familias","Family Dental Insurance in Madrid","Family Dental Insurance in Madrid","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","6","87","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/pet-insurance","yes","en","200","https://valentinproteccionintegral.com/en/insurance/pet-insurance","0","yes","https://valentinproteccionintegral.com/en/insurance/pet-insurance","https://valentinproteccionintegral.com/seguros/mascotas","https://valentinproteccionintegral.com/en/insurance/pet-insurance","https://valentinproteccionintegral.com/seguros/mascotas","Pet insurance in Madrid | Valentín Protección Integral","Pet insurance for veterinary care and protection against third-party liability","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","379","100","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/pet-insurance/civil-liability","yes","en","200","https://valentinproteccionintegral.com/en/insurance/pet-insurance/civil-liability","0","yes","https://valentinproteccionintegral.com/en/insurance/pet-insurance/civil-liability","https://valentinproteccionintegral.com/seguros/mascotas/responsabilidad-civil","https://valentinproteccionintegral.com/en/insurance/pet-insurance/civil-liability","https://valentinproteccionintegral.com/seguros/mascotas/responsabilidad-civil","Pet Civil Liability Insurance in Madrid","Pet Civil Liability Insurance in Madrid","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","5","88","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/health-insurance/families","yes","en","200","https://valentinproteccionintegral.com/en/insurance/health-insurance/families","0","yes","https://valentinproteccionintegral.com/en/insurance/health-insurance/families","https://valentinproteccionintegral.com/seguros/salud/familias","https://valentinproteccionintegral.com/en/insurance/health-insurance/families","https://valentinproteccionintegral.com/seguros/salud/familias","Family Health Insurance in Madrid | Paediatric Cover","Family Health Insurance in Madrid","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","4","91","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/health-insurance/reimbursement","yes","en","200","https://valentinproteccionintegral.com/en/insurance/health-insurance/reimbursement","0","yes","https://valentinproteccionintegral.com/en/insurance/health-insurance/reimbursement","https://valentinproteccionintegral.com/seguros/salud/reembolso","https://valentinproteccionintegral.com/en/insurance/health-insurance/reimbursement","https://valentinproteccionintegral.com/seguros/salud/reembolso","Reimbursement Health Insurance in Madrid | Free Choice","Reimbursement Health Insurance in Madrid","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","4","91","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/health-insurance/self-employed","yes","en","200","https://valentinproteccionintegral.com/en/insurance/health-insurance/self-employed","0","yes","https://valentinproteccionintegral.com/en/insurance/health-insurance/self-employed","https://valentinproteccionintegral.com/seguros/salud/autonomos","https://valentinproteccionintegral.com/en/insurance/health-insurance/self-employed","https://valentinproteccionintegral.com/seguros/salud/autonomos","Health Insurance for Self-Employed in Madrid | Tax Guidance","Health Insurance for Self-Employed in Madrid","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","5","95","unknown","unknown","","yes","no","yes","yes","no"
"https://valentinproteccionintegral.com/extranjeros/alquileres","yes","es","200","https://valentinproteccionintegral.com/extranjeros/alquileres","0","yes","https://valentinproteccionintegral.com/extranjeros/alquileres","unknown","unknown","unknown","Alquiler de pisos en Madrid para extranjeros | VPI","Alquiler de pisos en Madrid para estudiantes y familias internacionales","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","es","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","274","77","unknown","unknown","","yes","yes","yes","yes","no"
"https://valentinproteccionintegral.com/en/insurance/health-insurance/comprehensive","yes","en","200","https://valentinproteccionintegral.com/en/insurance/health-insurance/comprehensive","0","yes","https://valentinproteccionintegral.com/en/insurance/health-insurance/comprehensive","https://valentinproteccionintegral.com/seguros/salud/completa","https://valentinproteccionintegral.com/en/insurance/health-insurance/comprehensive","https://valentinproteccionintegral.com/seguros/salud/completa","Comprehensive Health Insurance in Madrid | Hospital Cover","Comprehensive Health Insurance in Madrid","index, follow","unknown","yes","allowed","index","public_indexable_200","unknown","unknown","unknown","en","unknown","unknown","app/[locale]/about-us/page.tsx","yes","sitemap_present","4","95","unknown","unknown","","yes","no","yes","yes","no"
